CLUSTER;FILIAL DESTINO;GH;FECHAMENTO 1200;FREQ;CUBAGEM TOTAL;CUSTO MEDIO TOTAL;QTDE
SPCAP291;1023;1.0;QUI/QUA;2.0;4.6304;57381.33;156
SPCAP291;1129;1.0;QUI/QUA;2.0;10.6473;144524.94;312
SPCAP9006;1206;1.0;QUI;1.0;20.758399999999998;367213.63;652
SPCAP9044;2227;1.0;QUA;1.0;5.4654;52765.83;124
SPCAP9212;1593;1.0;QUA;1.0;3.8317;44513.81;60
SPCAP9213;2047;1.0;QUA;1.0;3.0732;62408.399999999994;63
SPCAP9410;3000;1.0;SEG/TER/QUA/QUI/SEX;5.0;33.0668;641104.76;350
SPGSP027;1582;1.0;SEG;1.0;6.6408000000000005;218313.09;218
SPGSP027;1670;1.0;SEG;1.0;7.7422;144460.88999999998;171
SPGSP028;1268;1.0;SEX/TER;2.0;16.5575;167059.89;151
SPGSP028;2111;1.0;SEX/TER;2.0;6.4874;72718.54;51
SPGSP029;1005;1.0;QUI/SEG;2.0;8.508000000000001;97632.16;254
SPGSP029;1103;1.0;SEX/TER;2.0;2.6577;61222.89;71
SPGSP029;1366;1.0;SEX/TER;2.0;19.7048;86506.59;293
SPGSP029;1535;1.0;SEX/TER;2.0;25.2385;178966.17;520
SPGSP029;85;1.0;QUI/SEG;2.0;10.2384;71564.04;206
SPGSP030;1287;1.0;SEG/TER;2.0;25.5497;207182.15;630
SPGSP030;1302;1.0;QUI;1.0;8.1265;169730.48;225
SPGSP030;1487;1.0;QUA;1.0;14.9564;80988.3;205
SPGSP030;1592;1.0;QUA;1.0;14.5511;81920.31;297
SPGSP030;456;1.0;QUI;1.0;0.4506;3112.13;10
SPGSP031;1003;1.0;QUI/SEX/QUA;3.0;4.1466;168377.95;489
SPGSP031;1114;1.0;QUI/SEX/QUA;3.0;4.9792;50230.79;83
SPGSP031;1360;1.0;QUI/SEX/QUA;3.0;11.6663;53084.99;158
SPGSP031;342;1.0;QUI/SEX/QUA;3.0;0.48379999999999995;16512.170000000002;15
SPGSP032;1046;1.0;QUI;1.0;16.9046;296976.77999999997;519
SPGSP032;1235;1.0;SEX/TER;2.0;4.1806;67691.73;93
SPGSP032;1560;1.0;SEX/TER;2.0;7.9852;201235.08;277
SPGSP033;1224;1.0;SEG/TER/QUA/QUI/SEX;5.0;5.0092;28267.01;153
SPGSP033;1261;1.0;SEG/TER/QUA/QUI/SEX;5.0;17.0475;134238.82;141
SPGSP033;1286;1.0;SEG/TER/QUA/QUI/SEX;5.0;3.5031;124136.27;245
SPGSP034;1057;1.0;SEG/TER/QUA/SEX;4.0;6.3927000000000005;257186.93;210
SPGSP034;1612;1.0;SEG/QUA;2.0;14.06;229951.83;232
SPGSP034;2061;1.0;SEG/QUA;2.0;2.7895000000000003;24140.59;165
SPGSP035;1009;1.0;SEX/QUA;2.0;11.8618;179267.91;279
SPGSP035;1010;1.0;SEX;1.0;6.7964;147249.97;207
SPGSP035;1014;1.0;QUA;1.0;3.59;22125.02;122
SPGSP035;1147;1.0;QUA;1.0;4.6671;55454.19;121
SPGSP036;1002;1.0;TER/QUI;2.0;19.7993;150936.06;167
SPGSP036;1216;1.0;SEX;1.0;4.4187;57862.25;203
SPGSP036;1336;1.0;SEX;1.0;4.5522;38821.12;91
SPGSP037;1150;1.0;QUA;1.0;1.8343;152852.54;187
SPGSP037;1276;1.0;SEX;1.0;16.3929;203342.68;262
SPGSP037;1304;1.0;QUA;1.0;6.5732;197922.72;284
SPGSP037;1564;1.0;SEX;1.0;8.6962;81984.09;112
SPGSP037;976;1.0;QUA;1.0;2.8329;105325.62;122
SPGSP038;1256;1.0;SEX/TER;2.0;2.0103;32863.42;44
SPGSP038;1689;1.0;SEX/TER;2.0;5.4437;75050.31999999999;70
SPGSP038;47;1.0;SEX/TER;2.0;2.5499;31602.35;51
SPGSP039;1489;1.0;SEG/TER;2.0;8.1849;52374.12;77
